Size,Floor,TotalFloors,CentralHeating,District,Year,Type,BuildingType,Price
318,2,4,Лок.отопл.,"град София, Градина",2004,МНОГОСТАЕН,Тухла,390000
318,10,10,ДА,"град София, Лагера",2021,4-СТАЕН,Тухла,220000
318,10,10,ДА,"град София, Лагера",2020,4-СТАЕН,Тухла,220000
318,6,7,ДА,"град София, Стрелбище",2000,МНОГОСТАЕН,Тухла,300000
318,8,8,ДА,"град София, Център",2019,4-СТАЕН,Тухла,412000
317,8,8,ДА,"град София, Център",2019,МНОГОСТАЕН,Тухла,412000
317,2,6,ДА,"град София, Лозенец",2007,МНОГОСТАЕН,Тухла,539000
316,7,8,ДА,"град София, Лозенец",2008,МНОГОСТАЕН,Тухла,729000
315,5,6,,"град София, Павлово",2001,МЕЗОНЕТ,Тухла,360000
315,4,5,Лок.отопл.,"град София, Павлово",2006,МЕЗОНЕТ,Тухла,335000
315,5,6,Лок.отопл.,"град София, Павлово",2001,МЕЗОНЕТ,Тухла,334990
315,9,9,ДА,"град София, Оборище",2000,4-СТАЕН,Тухла,699000
314,6,6,,"град София, Манастирски ливади",2013,МНОГОСТАЕН,Тухла,495000
314,5,5,НЕ,"град София, Манастирски ливади",2018,МНОГОСТАЕН,Тухла,241652
314,1,4,,"град София, Горубляне",2020,3-СТАЕН,Тухла,142000
314,1,5,,"град София, Горубляне",2020,3-СТАЕН,Тухла,142000
313,4,4,,"град София, Манастирски ливади",2007,МНОГОСТАЕН,Тухла,335000
313,2,3,,"град София, Симеоново",2017,4-СТАЕН,Тухла,250000
313,2,3,,"град София, с. Бистрица",2017,4-СТАЕН,Тухла,250000
313,1,6,Лок.отопл.,"град София, Горубляне",2021,3-СТАЕН,Тухла,142000
313,1,4,,"град София, Горубляне",2020,3-СТАЕН,Тухла,142000
313,4,4,Лок.отопл.,"град София, Манастирски ливади",2009,4-СТАЕН,Тухла,320000
312,4,4,,"град София, Бояна",2020,МНОГОСТАЕН,Тухла,363000
312,6,6,,"град София, Кръстова вада",2022,3-СТАЕН,Тухла,355000
311,6,7,НЕ,"град София, Овча купел",2009,3-СТАЕН,Тухла,180000
310,7,8,,"град София, Лозенец",2003,МЕЗОНЕТ,Тухла,490000
310,4,10,ДА,"град София, Център",2017,МНОГОСТАЕН,Тухла,330000
310,4,10,ДА,"град София, Център",2017,4-СТАЕН,Тухла,333000
310,5,5,Лок.отопл.,"град София, Витоша",2012,4-СТАЕН,Тухла,200850
310,2,4,Лок.отопл.,"град София, Драгалевци",2008,3-СТАЕН,Тухла,440000
308,5,6,ДА,"град София, Витоша",2000,4-СТАЕН,Тухла,260000
307,5,6,ДА,"град София, Витоша",2000,МЕЗОНЕТ,Тухла,260000
306,4,6,ДА,"град София, Център",2019,МЕЗОНЕТ,Тухла,470000
306,4,5,,"град София, Център",2018,МЕЗОНЕТ,Тухла,470000
306,4,6,ДА,"град София, Медицинска академия",2019,МЕЗОНЕТ,Тухла,470000
306,4,6,ДА,"град София, Център",2019,МНОГОСТАЕН,Тухла,470000
306,4,6,ДА,"град София, Медицинска академия",2019,МНОГОСТАЕН,Тухла,470000
306,5,5,,"град София, Павлово",2020,4-СТАЕН,Тухла,248000
305,5,6,,"град София, Студентски град",2017,МЕЗОНЕТ,Тухла,285000
305,5,6,ДА,"град София, Лозенец",2005,МНОГОСТАЕН,Тухла,619000
305,8,8,ДА,"град София, Студентски град",2017,3-СТАЕН,Тухла,285000
304,2,3,,"град София, Център",1938,4-СТАЕН,Тухла,435000
302,4,5,ДА,"град София, Център",2018,МЕЗОНЕТ,Тухла,470700
300,2,4,НЕ,"град София, Център",1912,МЕЗОНЕТ,Тухла,285000
300,7,8,Лок.отопл.,"град София, Стрелбище",2000,МЕЗОНЕТ,Тухла,350000
300,4,5,Лок.отопл.,"град София, Павлово",1996,МЕЗОНЕТ,Тухла,375000
300,4,5,,"град София, Павлово",2002,МЕЗОНЕТ,Тухла,335000
300,4,5,Лок.отопл.,"град София, Павлово",2005,МЕЗОНЕТ,Тухла,334800
300,6,6,,"град София, Център",1940,МНОГОСТАЕН,Тухла,1200000
300,5,7,ДА,"град София, Център",1938,МНОГОСТАЕН,Тухла,1200000
300,9,9,ДА,"град София, Център",2000,МНОГОСТАЕН,Тухла,700000
300,1,5,,"град София, Център",1990,МНОГОСТАЕН,Тухла,299900
300,2,4,НЕ,"град София, Център",1912,МНОГОСТАЕН,Тухла,285000
300,2,3,НЕ,"град София, Център",1940,МНОГОСТАЕН,Тухла,220000
300,4,5,Лок.отопл.,"град София, Павлово",1996,МНОГОСТАЕН,Тухла,375000
300,4,5,Лок.отопл.,"град София, Павлово",2005,МНОГОСТАЕН,Тухла,334800
300,3,3,Лок.отопл.,"град София, Манастирски ливади",2007,МНОГОСТАЕН,Тухла,300000
300,6,7,ДА,"град София, Борово",2014,МНОГОСТАЕН,Тухла,299000
300,3,6,,"град София, Център",2015,4-СТАЕН,Тухла,750000
300,2,4,НЕ,"град София, Център",1912,4-СТАЕН,Тухла,285000
300,2,4,НЕ,"град София, Център",1912,4-СТАЕН,Тухла,215000
300,4,5,Лок.отопл.,"град София, Павлово",2005,4-СТАЕН,Тухла,334800
300,2,5,ДА,"град София, Изток",1977,4-СТАЕН,Тухла,540000
300,6,7,,"град София, Изток",2017,4-СТАЕН,Тухла,450000
300,6,7,ДА,"град София, Борово",2014,4-СТАЕН,Тухла,299000
300,6,7,НЕ,"град София, Овча купел",2008,3-СТАЕН,Тухла,180000
300,6,6,,"град София, Овча купел",2008,3-СТАЕН,Тухла,179990
300,4,4,НЕ,"град София, Драгалевци",2019,3-СТАЕН,Тухла,274197
300,5,6,НЕ,"град София, Център",2020,МЕЗОНЕТ,Тухла,235000
300,10,10,ДА,"град София, Лагера",2010,3-СТАЕН,Тухла,250000
299,5,6,Лок.отопл.,"град София, Манастирски ливади",2009,МЕЗОНЕТ,Тухла,280000
299,5,6,,"град София, Студентски град",2020,МНОГОСТАЕН,Тухла,350000
298,1,5,,"град София, Карпузица",2019,МЕЗОНЕТ,Тухла,283100
296,5,6,ДА,"град София, Център",2021,МЕЗОНЕТ,Тухла,390000
296,13,17,ДА,"град София, Изгрев",2023,4-СТАЕН,Тухла,321300
