Id,Url,Size,Floor,TotalFloors,CentralHeating,District,Year,Type,BuildingType,Price
117,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h157881872759704&slink=603y3r&f1=1,33,1,1,ДА,"град София, Гео Милев",2000,АТЕЛИЕ, ТАВАН,Тухла,26400
118,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h160309976394468&slink=603y3r&f1=1,33,3,3,ДА,"град София, Лозенец",1970,АТЕЛИЕ, ТАВАН,Тухла,49800
119,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h159145850015023&slink=603y3r&f1=1,33,1,6,Лок.отопл.,"град София, Център",2008,АТЕЛИЕ, ТАВАН,Тухла,66000
120,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157495105491222&slink=603y4a&f1=1,34,2,5,,"град София, Малинова долина",0,1-СТАЕН,Тухла,35000
121,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160318708909791&slink=603y4a&f1=1,34,1,4,,"град София, Малинова долина",2021,1-СТАЕН,Тухла,33999
122,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159714498165612&slink=603y4a&f1=1,34,2,8,,"град София, Студентски град",2020,1-СТАЕН,Тухла,44900
123,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160130301730536&slink=603y4a&f1=1,34,1,5,,"град София, Витоша",2020,1-СТАЕН,Тухла,35000
124,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160206034635078&slink=603y4a&f1=1,34,2,4,ДА,"град София, Западен парк",0,1-СТАЕН,Тухла,56500
125,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157631815264559&slink=603y4a&f1=1,34,1,8,ДА,"град София, Изгрев",0,1-СТАЕН,ПК,61850
126,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157547440733966&slink=603y4a&f1=1,34,1,8,ДА,"град София, Изгрев",1975,1-СТАЕН,Тухла,61990
127,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158262476117792&slink=603y4a&f1=1,34,1,8,ДА,"град София, Изгрев",1982,1-СТАЕН,ЕПК,62000
128,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157566357977532&slink=603y4a&f1=1,34,1,8,ДА,"град София, Изток",1975,1-СТАЕН,Тухла,61800
129,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160103721342728&slink=603y4a&f1=1,34,1,4,,"град София, Малинова долина",0,1-СТАЕН,Тухла,37350
130,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159714489167699&slink=603y4a&f1=1,34,2,8,,"град София, Малинова долина",2020,1-СТАЕН,Тухла,44900
131,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160016375396684&slink=603y4a&f1=1,34,0,0,НЕ,"град София, Студентски град",2022,1-СТАЕН,Тухла,31709
132,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159134788160596&slink=603y4a&f1=1,34,10,14,,"град София, Сухата река",1980,1-СТАЕН,ЕПК,48700
133,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160129944155274&slink=603y4a&f1=1,34,10,14,ДА,"град София, Сухата река",1980,1-СТАЕН,ЕПК,49999
134,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159722171373652&slink=603y4k&f1=1,35,1,6,ДА,"град София, Лозенец",0,1-СТАЕН,Тухла,46990
135,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157901787659973&slink=603y4k&f1=1,35,6,9,ДА,"град София, Надежда 2",2020,1-СТАЕН,Тухла,31700
136,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160258536425457&slink=603y4k&f1=1,35,3,4,,"град София, Малинова долина",2021,1-СТАЕН,Тухла,37800
137,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160261822020565&slink=603y4k&f1=1,35,0,0,,"град София, Център",0,1-СТАЕН,Тухла,127000
138,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160327736505827&slink=603y4k&f1=1,35,10,12,ДА,"град София, Гевгелийски",0,1-СТАЕН,ЕПК,55000
